Verse number;English;Basque;gloss;marker;allomorph;type;remarks;semantics
Mt026016;And <from that time> he sought opportunity to betray him.;<Ordutik>, Jesus haien eskuetara emateko egokiera bila hasi zen Judas.;hour-ABL;–tik;;postposition;TEMPORAL;time
Mt026023;And he answered and said, He that dippeth his hand with me in the dish, the same shall betray me.;Hark erantzun zuen: –Nirekin <plater beretik> jaten ari den batek salduko nau. ;dish same-ABL;–tik;;postposition;PARTITIVE or SOURCE?;
Mt026027;"And he took the cup, and gave thanks, and gave it to them, saying, Drink ye all <of it>;";Gero, kopa hartu eta, esker oneko otoitza egin ondoren, eman egin zien, esanez: «Edan guztiok <honetatik>, ;this.OBL-ABL;–tik;;postposition;PARTITIVE or SOURCE?;
Mt026058;But Peter <followed him afar off> unto the high priest's palace, and went in, and sat with the servants, to see the end.; Pedro, Jesusi <urrutitik jarraituz>, apaiz nagusiaren jauregiraino joan eta, barrura sarturik, morroiekin eseri zen, hura guztia zertan amaitzen zen ikusteko.;far-ABL follow.PFV-INS;–tik;;postposition;;
Mt027040;And saying, Thou that destroyest the temple, and buildest it in three days, save thyself. If thou be the Son of God, <come down from the cross>.;«Santutegia desegin eta hiru egunetan eraikitzen omen duan horrek, Jainkoaren Semea baldin bahaiz, salba ezak heure burua! <Jaits hadi gurutzetik>!»;descend IMP.2SG cross-ABL;–tik;;postposition;;artifact
Mt027042;"He saved others; himself he cannot save. If he be the King of Israel, let him now come down <from the cross>, and we will believe him.";"«Besteak salbatu ditik, eta bere burua ezin. Israelgo errege omen duk hori; jaits dadila orain <gurutzetik>, eta sinetsiko diagu berarengan.";cross-ABL;–tik;;postposition;;artifact
Mt027045;Now <from the sixth hour> there was darkness over all the land unto the ninth hour.;<Eguerditik> hirurak arte ilundu egin zuen lurbira osoan ;midday-ABL;–tik;;postposition;TEMPORAL;time
Mt027051;"And, behold, the veil of the temple was rent in twain <from the top to the bottom>; and the earth did quake, and the rocks rent;";"Eta horra, santutegiko oihala erdiz erdi urratu zen, <goitik beheraino>; lurrikara izan zen eta harkaitzak zartatu egin ziren;";top-ABL bottom-TERM;–tik;;postposition;;
Mt027053;And <came out of the graves> after his resurrection, and went into the holy city, and appeared unto many.;<hilobietatik irten> eta, Jesus piztu ondoren, hiri santuan sartu ziren eta jende askori agertu zitzaizkion. ;tomb-PL-ABL go_out.PFV;–tik;;postposition;;building
Mt027055;And many women were there <beholding afar off>, which followed Jesus from Galilee, ministering unto him:;" Baziren han emakume asko ere, <urrutitik begira>; Jesusi jarraituz Galileatik etorriak ziren, beraren zerbitzari;";far-ABL look;–tik;;postposition;;distance
Mt027055a;And many women were there beholding afar off, which followed Jesus <from Galilee>, ministering unto him:;" Baziren han emakume asko ere, urrutitik begira; Jesusi jarraituz <Galileatik> etorriak ziren, beraren zerbitzari;";Galilee-ABL;–tik;;postposition;;country
Mt027064;Command therefore that the sepulchre be made sure until the third day, lest his disciples come by night, and steal him away, and say unto the people, He is risen <from the dead>: so the last error shall be worse than the first.;" Agindu ezazu, bada, hirugarren eguna arte hilobia zaintzeko; ez dadila gerta, haren ikasleak gorpua eraman eta gero «<Hildakoen artetik> piztu da» herriari esanez etortzea. Azken engainu hau lehenengoa baino okerragoa izango litzateke.";dead-PL.GEN among-ABL;–tik;;postposition;The ABL marker is added to a spatial postposition;
Mt028002;And, behold, there was a great earthquake: for the angel of the Lord descended <from heaven>, and came and rolled back the stone from the door, and sat upon it.; Bat-batean, lurrikara gogorra gertatu zen: Jaunaren aingerua jaitsi zen <zerutik> eta, hurbildurik, harria biratu zuen eta gainean eseri.;heaven-ABL;–tik;;postposition;;
Mt028007;"And go quickly, and tell his disciples that he <is risen from the dead>; and, behold, he goeth before you into Galilee; there shall ye see him: lo, I have told you.";"Gero, zoazte bizkor ikasleei esatera: “<Hildakoen artetik piztua da> eta zuen aurretik joango da Galileara; han ikusiko duzue”. Hau da esan behar nizuena».";dead-PL.GEN among-ABL revive-PFV-RES is;–tik;;postposition;The ABL marker is added to a spatial postposition;
Mt028008;"And they departed quickly <from the sepulchre> with fear and great joy; and did run to bring his disciples word.";<Hilobitik> arin-arin alde egin eta, ikaraz eta poz-pozik, ikasleei berri ematera joan ziren lasterka. ;grave-ABL;–tik;;postposition;;building
Mt028014;And if this come to the governor's ears, we will persuade him, and secure you.;Gobernariaren belarrietara ezer iristen bada, geu konponduko gara harekin eta <arriskutik aterako zaituztegu>».;danger-ABL take_off.PFV_FUT E1PL>A2PL;–tik;;postposition;Metaphorical SOURCE;
Mt001003;"And Judas begat Phares and Zara <of Thamar>; and Phares begat Esrom; and Esrom begat Aram;";"Judak Fares eta Zara, <Tamarrengandik>; Faresek Esrom; Esromek Aram;";Thamar-GEN-ANIM-ABL;–tik;–dik;postposition;;person
Mt001005;"And Salmon begat Booz <of Rachab>; and Booz begat Obed of Ruth; and Obed begat Jesse;";"Salmonek Booz, <Rahabengandik>; Boozek Obed, Rutengandik; Obedek Jese,";Rachab-GEN-ANIM-ABL;–tik;–dik;postposition;;person
Mt001005a;"And Salmon begat Booz of Rachab; and Booz begat Obed <of Ruth>; and Obed begat Jesse;";"Salmonek Booz, Rahabengandik; Boozek Obed, <Rutengandik>; Obedek Jese,";Ruth-GEN-ANIM-ABL;–tik;–dik;postposition;;person
Mt001006;"And Jesse begat David the king; and David the king begat Solomon <of her that had been the wife of Urias>;";"eta Jesek David erregea. Davidek Salomon sortu zuen, <Uriasen emazte izanarengandik>;";Urias-GEN wife been-RES-GEN-ANIM-ABL;–tik;–dik;postposition;;person
Mt001016;And Jacob begat Joseph the husband of Mary, <of whom> was born Jesus, who is called Christ.;" eta Jakobek Jose, Mariaren senarra; eta <Mariagandik> jaio zen Jesus, Mesias deritzana.";Mary-GEN-ANIM-ABL;–tik;–dik;postposition;;person
Mt001020;But while he thought on these things, behold, the angel of the Lord appeared unto him in a dream, saying, Joseph, thou son of David, fear not to take unto thee Mary thy wife: for that which is conceived in her is <of the Holy Ghost>.;Asmo horrekin zebilela, Jaunaren aingerua agertu zitzaion ametsetan eta esan zion: «Jose, Daviden ondorengoa, ez izan beldurrik Maria zeure emaztetzat hartzeko, harengan sortua <Espiritu Santuarengandik> baitator. ;Spirit Holy-SG-GEN-ANIM-ABL;–tik;–dik;postposition;;spirit
Mt002006;And thou Bethlehem, in the land of Juda, art not the least among the princes of Juda: for <out of thee> shall come a Governor, that shall rule my people Israel.;"Eta zu, Judako Belen, ez zara, ez, Judako hirietan txikiena; <zuregandik> aterako baita buruzagia, Israel nire herria gobernatuko duena.";2SG-GEN-ANIM-ABL;–tik;–dik;postposition;;person
Mt004010;Then saith Jesus unto him, <Get thee hence>, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve.;Jesusek, orduan: – <Alde hemendik>, Satanas! Idatzia baitago: Adoratu Jauna, zeure Jainkoa, eta bera bakarrik gurtu.;away here-ABL;–tik;–dik;postposition;;deictic
Mt005026;Verily I say unto thee, Thou shalt by no means come out <thence>, till thou hast paid the uttermost farthing.;Benetan diotsut: Ez zara <handik> aterako azken txanpona ordaindu arte.;there-ABL;–tik;–dik;postposition;;deictic
Mt005029;And if thy right eye offend thee, pluck it out, and cast it <from thee>: for it is profitable for thee that one of thy members should perish, and not that thy whole body should be cast into hell.;«Eskuineko begia galbide bazaizu, atera eta bota <zeuregandik urruti>: hobe duzu gorputz-atal bat galdu, oso-osorik infernura jaurtia izan baino.;2SG.EMPH-GEN-ANIM-ABL far_away;–tik;–dik;postposition;;person
Mt005030;And if thy right hand offend thee, cut if off, and cast it <from thee>: for it is profitable for thee that one of thy members should perish, and not that thy whole body should be cast into hell.;Eskuineko eskua galbide bazaizu, moztu eta bota <zeuregandik urruti>: hobe duzu gorputz-atal bat galdu, oso-osorik infernura joan baino.;2SG.EMPH-GEN-ANIM-ABL far_away;–tik;–dik;postposition;;person
Mt005037;"But let your communication be, Yea, yea; Nay, nay: for whatsoever is more than these cometh <of evil>.";"Esan ezazue “bai”, bai denean, eta “ez”, ez denean; gainerakoa <gaiztoarengandik> dator.";evil-SG-GEN-ANIM-ABL;–tik;–dik;postposition;I would not expect the animacy marker.;abstract
Mt006001;[1] Take heed that ye do not your alms before men, to be seen of them: otherwise ye have no reward <of your Father> which is in heaven.;"«Ez egin gero zeuen erlijio-betebeharrak jendaurrean, jendeak ikus zaitzaten; horrela, ez duzue saririk jasoko <zeruko zeuen Aitarengandik>. ";heaven-REL POSS.EMPH.2PL faher.SG-GEN-ANIM-ABL;–tik;–dik;postposition;;
Mt006013;And lead us not into temptation, but deliver us <from evil>: For thine is the kingdom, and the power, and the glory, for ever. Amen.;ez utzi gu tentaldian erortzen, eta gorde gaitzazu <gaiztoarengandik>.;evil-SG-GEN-ANIM-ABL;–tik;–dik;postposition;I would not expect the animacy marker.;abstract
Mt007023;And then will I profess unto them, I never knew you: <depart from me>, ye that work iniquity.;"Baina nik erantzungo diet: “Ez zaituztet inoiz ezagutu; <alde niregandik>, gaizkileok!”";away 1SG-GEN-ANIM-ABL;–tik;–dik;postposition;;person
Mt008030;And there was a good way off from them an herd of many swine feeding.;<Handik> urrutira gabe, txerri-talde handi bat zebilen uxarrean.;there-ABL;–tik;–dik;postposition;;deictic
Mt009009;And as Jesus <passed forth from thence>, he saw a man, named Matthew, sitting at the receipt of custom: and he saith unto him, Follow me. And he arose, and followed him.;Jesusek, <handik atera> eta bidez zihoala, Mateo zeritzan gizon bat ikusi zuen zergak biltzeko mahaian eseria, eta esan zion:;there-ABL go_out.PFV;–tik;–dik;postposition;;deictic
Mt009024;He said unto them, <Give place>: for the maid is not dead, but sleepeth. And they laughed him to scorn.;esan zien: «<Alde hemendik>! Neskatxa ez dago hilda, lo dago». Haiek barre egiten zioten.;away here-ABL;–tik;–dik;postposition;;deictic
Mt009027;And when Jesus departed <thence>, two blind men followed him, crying, and saying, Thou Son of David, have mercy on us.;Jesus <handik> atera zenean, bi itsuk jarraitu zioten deiadarka: «Daviden Semea, erruki zakizkigu!»;there-ABL;–tik;–dik;postposition;;deictic
Mt010035;For I am come to set a man at variance against his father, and the daughter against her mother, and the daughter in law against her mother in law.;Bai, semea <aitarengandik>, alaba amarengandik eta erraina amaginarrebagandik banatzera etorri naiz. ;father.SG-GEN-ANIM-ABL;–tik;–dik;postposition;English version does not encode as SOURCE;person
Mt010035a;For I am come to set a man at variance against his father, and the daughter against her mother, and the daughter in law against her mother in law.;Bai, semea aitarengandik, alaba <amarengandik> eta erraina amaginarrebagandik banatzera etorri naiz. ;father.SG-GEN-ANIM-ABL;–tik;–dik;postposition;English version does not encode as SOURCE;person
Mt010035b;For I am come to set a man at variance against his father, and the daughter against her mother, and the daughter in law against her mother in law.;Bai, semea aitarengandik, alaba amarengandik eta erraina <amaginarrebagandik> banatzera etorri naiz. ;father.SG-GEN-ANIM-ABL;–tik;–dik;postposition;English version does not encode as SOURCE;person
Mt011001;And it came to pass, when Jesus had made an end of commanding his twelve disciples, he departed <thence> to teach and to preach in their cities.;Jesus, bere hamabi ikasleei argibide hauek ematen amaitu zuenean, joan egin zen <handik>, herriz herri irakastera eta mezua hots egitera.;there-ABL;–tik;–dik;postposition;;deictic
Mt011029;"Take my yoke upon you, and learn <of me>; for I am meek and lowly in heart: and ye shall find rest unto your souls.";"Hartzazue nire uztarria eta ikasi <niregandik>, gozoa eta bihotz-apala bainaiz ni, eta aurkituko duzue bizitzarako atsedena; 30 eramanerraza baita nire uztarria eta arina nire zama».";1SG-GEN-ANIM-ABL;–tik;–dik;postposition;Metaphorical source of learning;person
Mt012009;And when he was departed <thence>, he went into their synagogue:;<Handik> alde egin eta sinagogara joan zen Jesus. ;there-ABL;–tik;–dik;postposition;;deictic
Mt012014;Then the Pharisees went out, and held a council against him, how they might destroy him.; <Handik> atera zirenean, fariseuek elkar hartu zuten Jesusen kontra, nola hilko.;there-ABL;–tik;–dik;postposition;English version does not encode as SOURCE;deictic
Mt012015;"But when Jesus knew it, he withdrew himself <from thence>: and great multitudes followed him, and he healed them all;";Horretaz jabeturik, <handik> aldendu egin zen Jesus. Jende askok jarraitu zion, eta hark denak sendatu zituen,;there-ABL;–tik;–dik;postposition;English version does not encode as SOURCE;deictic
Mt012043;When the unclean spirit is gone <out of a man>, he walketh through dry places, seeking rest, and findeth none.;" «Espiritu gaiztoa, <norbaitengandik> irten ondoren, leku idorretan barrena ibili ohi da atseden bila; baina, aurkitzen ez duelarik,";someone-GEN-ANIM-ABL;–tik;–dik;postposition;;person
Mt013027;So the servants of the householder came and said unto him, Sir, didst not thou sow good seed in thy field? <from whence> then hath it tares?;Joan ziren, orduan, morroiak etxeko nagusiari esatera: “Jauna, ez al zenuen hazi ona erein soroan? <Nondik> du, bada, olo gaiztoa?” ;where-ABL;–tik;–dik;postposition;;interrogative
Mt013053;And it came to pass, that when Jesus had finished these parables, he departed <thence>.;Jesusek, parabola hauek amaitu zituenean, alde egin zuen <handik>.;there-ABL;–tik;–dik;postposition;;deictic
